Nº Pergunta,Nível,Pergunta,Resposta Correta,Resposta 2,Resposta 3,Resposta 4
1,1,O que é um computador?,Uma máquina eletrónica de processamento,Uma mesa de madeira,Um simples livro em papel,Um candeeiro de secretária
2,1,Qual é o dispositivo usado para ver o que o computador está a fazer?,Um monitor de computador,Uma impressora de documentos,Um conjunto de colunas,Uma pen USB vazia
3,1,Qual é o dispositivo usado para escrever texto no computador?,Um teclado de computador,Um rato ótico,Um par de auscultadores,Um microfone de mesa
4,1,Qual destes dispositivos é um dispositivo de entrada?,Um rato de computador,Um monitor LED,Uma impressora a cores,Um projetor de vídeo
5,1,O que devemos fazer para guardar um trabalho num programa?,Carregar no comando de guardar,Desligar o PC pelo botão,Tirar o cabo da tomada,Carregar muitas vezes em Esc
6,1,Qual destes exemplos corresponde a um sistema operativo?,O sistema operativo Windows,A rede social Facebook,O navegador Google Chrome,A plataforma YouTube
7,1,Qual é o dispositivo utilizado para imprimir documentos em papel?,Uma impressora de documentos,Um scanner de imagens,Um teclado mecânico,Um monitor de secretária
8,1,Que tipo de programa usamos para navegar em páginas da Internet?,Um browser de Internet,Um editor de imagens,Um leitor de música,Um programa antivírus
9,1,O que é uma palavra-passe?,Um código secreto de acesso,Um nome simples de ficheiro,Um jogo online qualquer,Um tipo conhecido de vírus
10,1,O que devemos fazer antes de desligar o computador?,Encerrar corretamente o sistema,Puxar logo a ficha da tomada,Manter o botão de ligar premido,Retirar o disco rígido interno
11,1,O que é um ficheiro num computador?,Um conjunto organizado de dados,Uma tecla do teclado,Um cabo de alimentação,Uma pasta física em papel
12,1,Em que parte do ecrã se encontra normalmente o botão Iniciar no Windows?,No canto inferior esquerdo,No centro exato do ecrã,Na parte de cima do rato,Na traseira da torre do PC
13,1,O que é um rato de computador?,Um dispositivo de apontar,Um vírus informático perigoso,Um tipo especial de monitor,Uma coluna de som potente
14,1,Qual destes dispositivos é um dispositivo móvel?,Um smartphone moderno,Um monitor de secretária,Uma impressora de secretária,Um router fixo de parede
15,1,Em que zona do navegador escrevemos o endereço de um site?,Na barra de endereços,Na barra de tarefas do sistema,Na área de trabalho do Windows,No menu Iniciar do Windows
16,1,Qual é o dispositivo mais adequado para guardar ficheiros e transportar dados?,Uma pen USB portátil,Um par de colunas de som,Uma webcam simples,Um teclado sem fios
17,1,O que é um nome de utilizador num sistema informático?,A identificação do utilizador,O nome interno do computador,O nome dado ao ficheiro,O endereço completo do site
18,1,O que é uma aplicação de computador ou telemóvel?,Um programa que faz uma tarefa,Um cabo de ligação elétrica,Um componente físico interno,Uma folha de papel A4
19,1,O que é o Wi-Fi?,Uma rede sem fios para dados,Uma impressora ligada por cabo,Um editor de texto simples,Uma loja online de compras
20,1,Qual destes exemplos é uma rede social?,A rede social Instagram,O processador de texto Word,O sistema operativo Windows,Um programa antivírus grátis
21,1,Que dispositivo precisamos para ouvir som do computador?,Umas colunas ou auscultadores,Uma impressora multifunções,Um scanner de mesa,Um monitor extra grande
22,1,O que significa fazer login num site ou aplicação?,Entrar numa conta pessoal,Apagar uma conta antiga,Formatar todo o computador,Mudar o idioma do sistema
23,1,Qual destas opções é uma palavra-passe mais forte?,Ab3C9z!7 com símbolos,123456 muito simples,paulo em minúsculas,escola2020 previsível
24,1,O que acontece normalmente quando clicamos num link numa página web?,Abre outra página ou recurso,O computador desliga-se sozinho,Um ficheiro é apagado logo,O disco é formatado inteiro
25,1,O que devemos fazer primeiro se o computador bloquear e deixar de responder?,Esperar e tentar fechar programas,Puxar logo o cabo da tomada,Bater no computador com força,Apagar todos os ficheiros guardados
26,2,O que é o hardware de um computador?,A parte física do sistema,Os programas instalados nele,Os ficheiros criados pelo aluno,As contas de email dos colegas
27,2,O que é o software de um computador?,Os programas que ele usa,Os cabos e fichas,Os componentes dentro da caixa,As pastas guardadas na mochila
28,2,"O que indica a extensão de um ficheiro, por exemplo docx?",O tipo de ficheiro utilizado,O tamanho total do disco,A velocidade do computador,O número de utilizadores ativos
29,2,O que é a cloud ou nuvem em informática?,Armazenamento de dados online,Um disco rígido dentro do PC,Um cabo de rede de cobre,Uma impressora Wi-Fi partilhada
30,2,Para que serve o atalho de teclado Ctrl C?,Copiar o conteúdo selecionado,Colar texto para um sítio,Apagar o texto escolhido,Guardar o documento atual
